AI_Q1,AI_Q1_ID,AI_Q2,AI_Q2_ID,AI_Q3,AI_Q3_ID,AI_Q4,AI_Q4_ID,AI_Q5,AI_Q5_ID,AI_Q6,AI_Q6_ID,HU_Q1,HU_Q1_ID,HU_Q2,HU_Q2_ID,HU_Q3,HU_Q3_ID,HU_Q4,HU_Q4_ID,HU_Q5,HU_Q5_ID,HU_Q6,HU_Q6_ID
1,-485,2,-446,2,-1450,1,-180,1,-701,1,-353,2,868,1,321,4,940,1,199,2,1393,2,223
2,-1256,2,-324,2,-1038,2,-96,1,-21,2,-816,1,1179,1,646,4,93,2,908,2,208,1,799
1,-1125,1,-329,2,-1188,1,-911,2,-550,2,-626,1,1423,1,244,1,240,2,1034,2,358,2,99
2,-1267,2,-1181,1,-422,2,-801,2,-974,2,-866,1,564,1,823,1,736,2,1389,2,532,2,422
2,-583,1,-87,2,-1208,2,-129,2,-661,2,-245,1,251,2,49,4,597,2,927,1,734,2,25
2,-773,2,-1365,1,-64,1,-380,1,-305,1,-1333,2,766,1,876,4,1313,1,136,2,624,2,856
2,-495,2,-844,1,-80,1,-840,1,-638,2,-404,1,1425,1,371,4,1160,2,26,2,1092,1,329
1,-646,1,-1033,1,-356,1,-844,1,-1488,2,-790,1,664,1,23,4,799,2,515,2,239,2,819
2,-645,2,-658,2,-527,1,-867,1,-1042,1,-90,1,1367,2,1379,1,1378,2,639,2,1283,2,1056
1,-564,2,-630,2,-217,1,-346,2,-116,2,-27,1,890,1,832,1,1226,2,1017,2,447,2,1215
2,-525,1,-338,2,-1264,1,-247,1,-837,2,-571,2,1492,2,995,4,1106,1,663,2,1310,1,1324
1,-296,2,-1389,2,-227,1,-1239,2,-688,2,-1467,2,114,1,1201,1,902,1,118,2,830,2,327
1,-630,2,-963,2,-843,1,-751,2,-638,2,-884,1,164,1,1472,4,388,2,1297,2,11,2,545
2,-903,2,-134,1,-1196,1,-1327,1,-1208,1,-1137,2,992,2,141,1,565,2,232,1,1174,1,1249
2,-239,2,-87,2,-1226,2,-250,1,-668,2,-1096,1,1192,1,220,1,1205,2,358,1,610,2,1465
1,-1480,1,-1190,1,-1364,1,-69,2,-584,2,-939,1,1059,1,892,4,396,1,1066,2,651,2,1342
1,-326,1,-1148,1,-1488,1,-676,1,-1317,1,-538,2,1340,2,535,1,182,1,393,2,1443,2,1465
